wakakaha,1,,211,
wakakaxa,1,,107,
wakakaja,1,,204,
xawadt,1,,107,
isabm,1,,204,
isabmx,1,,211,
isabmy,1,,211,
realabsf,1,,109,
realacsf,1,,107,
realadsf,1,,204,
realaesf,1,,204,
realafsf,1,,109,
realagsf,1,,819,
realahsf,1,,204,
realaisf,1,,107,
realajsf,1,,211,
realaksf,1,,211,
realalsf,1,,819,
realamsf,1,,109,
realansf,1,,107,
realaosf,1,,411,
realapsf,1,,211,
realaqsf,1,,107,
realarsf,1,,109,
realassf,1,,411,
realatsf,1,,204,
realausf,1,,204,
realavsf,1,,411,
realawsf,1,,819,
realaxsf,1,,819,
realaysf,1,,107,
realazsf,1,,211,
realbasf,1,,204,
realbbsf,1,,204,
realbcsf,1,,211,
realbdsf,1,,819,
realbesf,1,,109,
realbfsf,1,,411,
realbgsf,1,,109,
realbhsf,1,,211,
realbisf,1,,819,
realbjsf,1,,819,
realbksf,1,,109,
realblsf,1,,411,
realbmsf,1,,107,
realbnsf,1,,204,
realbosf,1,,107,
realbpsf,1,,411,
realbqsf,1,,109,
realbrsf,1,,107,
realbssf,1,,204,
realbtsf,1,,109,
realbusf,1,,204,
realbvsf,1,,819,
realbwsf,1,,819,
realbxsf,1,,107,
realbysf,1,,819,
realbzsf,1,,211,
realcasf,1,,819,
realcbsf,1,,204,
realccsf,1,,211,
realcdsf,1,,411,
realcesf,1,,204,
realcfsf,1,,819,
realcgsf,1,,411,
realchsf,1,,819,
realcisf,1,,411,
realcjsf,1,,107,
realcksf,1,,204,
realclsf,1,,107,
realcmsf,1,,819,
realcnsf,1,,204,
realcosf,1,,204,
realcpsf,1,,211,
realcqsf,1,,211,
realcrsf,1,,204,
realcssf,1,,107,
realctsf,1,,411,
realcusf,1,,211,
realcvsf,1,,211,
realcwsf,1,,211,
realcxsf,1,,411,
realcysf,1,,211,
realczsf,1,,819,
realdasf,1,,109,
realdbsf,1,,109,
realdcsf,1,,411,
realddsf,1,,204,
realdesf,1,,819,
realdfsf,1,,211,
realdgsf,1,,411,
realdhsf,1,,204,
realdisf,1,,204,
realdjsf,1,,204,
realdksf,1,,107,
realdlsf,1,,819,
realdmsf,1,,109,
realdnsf,1,,107,
realdosf,1,,107,
realdpsf,1,,204,
realdqsf,1,,109,
realdrsf,1,,211,
realdssf,1,,204,
realdtsf,1,,204,
realdusf,1,,411,
realdvsf,1,,211,
realdwsf,1,,211,
realdxsf,1,,819,
realdysf,1,,204,
realdzsf,1,,211,
realeasf,1,,204,
realebsf,1,,411,
realecsf,1,,107,
realedsf,1,,211,
realeesf,1,,411,
realefsf,1,,204,
realegsf,1,,211,
realehsf,1,,211,
realeisf,1,,411,
realejsf,1,,211,
realeksf,1,,211,
realelsf,1,,204,
realemsf,1,,107,
realensf,1,,211,
realeosf,1,,204,
realepsf,1,,109,
realeqsf,1,,109,
realersf,1,,411,
realessf,1,,107,
realetsf,1,,204,
realeusf,1,,204,
realevsf,1,,107,
realewsf,1,,411,
realexsf,1,,411,
realeysf,1,,211,
realezsf,1,,211,
realfasf,1,,819,
realfbsf,1,,211,
realfcsf,1,,107,
realfdsf,1,,107,
realfesf,1,,411,
realffsf,1,,107,
realfgsf,1,,204,
realfhsf,1,,109,
realfisf,1,,819,
realfjsf,1,,411,
realfksf,1,,107,
realflsf,1,,819,
realfmsf,1,,109,
realfnsf,1,,109,
realfosf,1,,107,
realfpsf,1,,819,
realfqsf,1,,211,
realfrsf,1,,204,
realfssf,1,,211,
realftsf,1,,107,
realfusf,1,,204,
realfvsf,1,,411,
realfwsf,1,,819,
realfxsf,1,,819,
realfysf,1,,211,
realfzsf,1,,107,
realgasf,1,,204,
realgbsf,1,,211,
realgcsf,1,,107,
realgdsf,1,,109,
realgesf,1,,819,
realgfsf,1,,204,
realggsf,1,,109,
realghsf,1,,411,
realgisf,1,,204,
realgjsf,1,,204,
realgksf,1,,411,
realglsf,1,,211,
realgmsf,1,,411,
realgosf,1,,109,
realgpsf,1,,204,
realgqsf,1,,107,
realgrsf,1,,107,
realgssf,1,,107,
